recruit,ranking,high.school,position,score,year
Jake Wahlin,148,"Timpview (Provo, UT)",PF,89,2023
Keanu Dawes,149,"Houston Stratford (Houston, TX)",PF,88,2023
Brock Harding,150,"Moline (Moline, IL)",PG,88,2023
Cooper Flagg,1,"Montverde Academy (Montverde, FL)",PF,100,2024
Ace Bailey,2,"McEachern (Powder Springs, GA)",SF,100,2024
Dylan Harper,3,"Don Bosco Prep (Ramsey, NJ)",CG,99,2024
Khaman Maluach,4,"NBA Academy Africa (Sudan, SUDA)",C,99,2024
VJ Edgecombe,5,"Long Island Lutheran (Glen Head, NY)",SG,99,2024
Tre Johnson,6,"Link Academy (Dallas, TX)",SG,99,2024
Jalil Bethea,7,"Archbishop Wood (Warminster, PA)",SG,99,2024
Ian Jackson,8,"Our Saviour Lutheran School (Bronx, NY)",SG,98,2024
Jayden Quaintance,9,"Word Of God Christian Academy (Raleigh, NC)",C,98,2024
Liam McNeeley,10,"Montverde Academy (Montverde, FL)",SF,98,2024
Drake Powell,11,"Northwood (Pittsboro, NC)",SF,98,2024
Derik Queen,12,"Montverde Academy (Baltimore, MD)",C,98,2024
Isaiah Evans,13,"North Mecklenburg (Huntersville, NC)",SF,98,2024
Flory Bidunga,14,"Kokomo (Kokomo, IN)",C,98,2024
Donnie Freeman,15,"IMG Academy (Bradenton, FL)",PF,98,2024
Egor Demin,16,"Russia (Russia, RUSS)",CG,98,2024
Derrion Reid,17,"Prolific Prep (Napa, CA)",PF,98,2024
Kon Knueppel,18,"Wisconsin Lutheran (Milwaukee, WI)",SF,98,2024
Asa Newell,19,"Montverde Academy (Montverde, FL)",PF,98,2024
Will Riley,20,"The Phelps School (Malvern, PA)",SF,98,2024
Patrick Ngongba II,21,"Paul VI Catholic (Fairfax, VA)",C,97,2024
Boogie Fland,22,"Archbishop Stepinac (White Plains, NY)",CG,97,2024
Rob Wright III,23,"Montverde Academy (Montverde, FL)",PG,97,2024
Joson Sanon,24,"Vermont Academy (Saxtons River, VT)",SG,97,2024
Karter Knox,25,"Overtime Elite (Atlanta, GA)",SF,97,2024
Annor Boateng,26,"Little Rock Central (Little Rock, AR)",SF,96,2024
Billy Richmond,27,"Camden (Camden, NJ)",SF,96,2024
Carter Bryant,28,"Centennial (Corona, CA)",PF,96,2024
Tahaad Pettiford,29,"Hudson Catholic (Jersey City, NJ)",PG,96,2024
Bryson Tucker,30,"Bishop O'Connell (Arlington, VA)",SF,96,2024
Morez Johnson Jr.,31,"Thornton Township (Harvey, IL)",C,95,2024
Aiden Sherrell,32,"Prolific Prep (Napa, CA)",C,95,2024
Ahmad Nowell,33,"Imhotep Institute (Philadelphia, PA)",CG,95,2024
Labaron Philon,34,"Link Academy (Branson, MO)",PG,95,2024
Trent Perry,35,"Harvard Westlake (Studio City, CA)",PG,95,2024
Kasparas Jakucionis,36,"Lithuania (Lithuania, LITH)",SG,95,2024
Jase Richardson,37,"Columbus (Miami, FL)",CG,95,2024
Khani Rooths,38,"IMG Academy (Bradenton, FL)",PF,95,2024
Jackson McAndrew,39,"Wayzata (Minneapolis, MN)",PF,94,2024
Darren Harris,40,"Paul VI Catholic (Fairfax, VA)",SF,94,2024
Kanon Catchings,41,"Overtime Elite (Atlanta, GA)",PF,94,2024
Bryson Tiller,42,"Overtime Elite (Atlanta, GA)",PF,94,2024
Moustapha Thiam,43,"DME Academy (Senegal, SENE)",C,94,2024
Oswin Erhunmwunse,44,"Putnam Science Academy (Putnam, CT)",C,94,2024
Naas Cunningham,45,"SoCal Academy (Castaic, CA)",SF,93,2024
Thomas Sorber,46,"Archbishop Ryan (Philadelphia, PA)",C,93,2024
Somto Cyril,47,"Overtime Elite (Atlanta, GA)",C,93,2024
Sir Mohammed,48,"Myers Park (Charlotte, NC)",CG,93,2024
John Mobley Jr.,49,"Wasatch Academy (Mount Pleasant, UT)",CG,93,2024
Rakease Passmore,50,"Combine Academy (Asheville, NC)",SF,93,2024
Lexington,51,"(Lexington, SC)",SG,93,2024
Tomislav Ivisic,52,"Croatia (Croatia, CROA)",C,93,2024
Tyler Betsey,53,"St. Thomas More (Windsor, CT)",PF,93,2024
Zoom Diallo,54,"Prolific Prep (Napa, CA)",PG,93,2024
David Castillo,55,"Sunrise Christian Academy (Wichita, KS)",CG,93,2024
Mercy Miller,56,"Notre Dame (Sherman Oaks, CA)",SG,93,2024
Larry Johnson,57,"SoCal Academy (Castaic, CA)",SG,93,2024
Daniel Jacobsen,58,"Brewster Academy (Wolfeboro, NH)",C,93,2024
Elijah Moore,59,"Our Saviour Lutheran School (Bronx, NY)",SG,93,2024
Julius Halaifonua,60,"NBA Global Academy (New Zealand, NEW )",C,93,2024
Jamari Phillips,61,"Dream City Christian (Glendale, AZ)",SG,93,2024
Jahki Howard,62,"Overtime Elite (Atlanta, GA)",SF,93,2024
Kur Teng,63,"Bradford Christian Academy (Haverhill, MA)",SG,93,2024
Samet Yigitoglu,64,"Turkey (Turkey, TURK)",C,93,2024
Jeremiah Fears,65,"Compass Prep (Chandler, AZ)",CG,93,2024
Austin Swartz,66,"Cannon School (Concord, NC)",SG,93,2024
Jaeden Mustaf,67,"Overtime Elite (Atlanta, GA)",CG,93,2024
Kayvaun Mulready,68,"Worcester Academy (Worcester, MA)",SG,93,2024
Isaiah Elohim,69,"Sierra Canyon (Chatsworth, CA)",SF,93,2024
Peyton Marshall,70,"Overtime Elite (Atlanta, GA)",C,93,2024
Justin Pippen,71,"Sierra Canyon (Chatsworth, CA)",CG,93,2024
John Bol,72,"Overtime Elite (South Sudan, SS)",C,93,2024
Jason Asemota,73,"Hillcrest Prep (Phoenix, AZ)",SF,93,2024
Josiah Moseley,74,"Stony Point (Round Rock, TX)",PF,92,2024
Gicarri Harris,75,"Grayson (Loganville, GA)",CG,92,2024
Damarius Owens,76,"Western Reserve Academy (Hudson, OH)",SF,92,2024
Eric Freeny,77,"Centennial (Corona, CA)",SG,92,2024
Paul McNeil,78,"Richmond (Raleigh, NC)",SG,92,2024
Jaiden Glover,79,"The Patrick School (Hillside, NJ)",SF,92,2024
Marcus Allen,80,"Miami Norland (Miami, FL)",PF,92,2024
Robert Miller,81,"Pasadena Memorial (Pasadena, TX)",PF,92,2024
Nicolas Codie,82,"Newman Smith (Carrollton, TX)",PF,92,2024
Matthew Hodge,83,"St Rose (Belmar, NJ)",PF,92,2024
Curtis Givens III,84,"Montverde Academy (Montverde, FL)",PG,92,2024
Vyctorius Miller,85,"Compass Prep (Chandler, AZ)",SG,92,2024
Cooper Koch,86,"Metamora (Peoria, IL)",PF,92,2024
Jalen Shelley,87,"Link Academy (Frisco, TX)",SF,92,2024
Travis Perry,88,"Lyon County (Eddyville, KY)",PG,92,2024
Tyler McKinley,89,"Winton Woods (Cincinnati, OH)",C,92,2024
Ryan Jones Jr.,90,"The Rock School (Gainesville, FL)",C,92,2024
Isaiah Abraham,91,"Paul VI Catholic (Fairfax, VA)",PF,91,2024
Andre Mills,92,"Brimmer And May School (Chestnut Hill, MA)",SG,91,2024
Daquan Davis,93,"Overtime Elite (Atlanta, GA)",PG,91,2024
Royce Parham,94,"Western Reserve Academy (Hudson, OH)",PF,91,2024
Miles Goodman,95,"SoCal Academy (Seattle, WA)",C,91,2024
Nojus Indrusaitis,96,"Brewster Academy (Evergreen Park, IL)",SG,91,2024
Bishop Boswell,97,"Myers Park (Charlotte, NC)",CG,91,2024
Chase McCarty,98,"IMG Academy (Bradenton, FL)",SF,91,2024
Amier Ali,99,"Canyon International Academy (Queen Creek, AZ)",SF,91,2024
Juke Harris,100,"Salisbury (Salisbury, NC)",SG,91,2024
Oscar Goodman,101,"NBA Global Academy (New Zealand, NEW )",SF,91,2024
Darrion Sutton,102,"Overtime Elite (Atlanta, GA)",SF,91,2024
Sammie Yeanay,103,"Compass Prep (Chandler, AZ)",PF,91,2024
Pharaoh Compton,104,"Arbor View (Las Vegas, NV)",PF,90,2024
Andrew Crawford,105,"ThunderRidge (Littleton, CO)",CG,90,2024
Jacob Cofie,106,"Eastside Catholic (Sammamish, WA)",PF,90,2024
Jase Butler,107,"The Branson School (San Francisco, CA)",CG,90,2024
Cole Certa,108,"IMG Academy (Bradenton, FL)",SG,90,2024
Isaac Asuma,109,"Cherry Secondary (Iron, MN)",PG,90,2024
Micah Robinson,110,"Oak Hill Academy (Mouth Of Wilson, VA)",SF,90,2024
Robert Hinton,111,"Harvard Westlake (Studio City, CA)",SG,90,2024
Jaxon Johnson,112,"Alta (Sandy, UT)",PF,90,2024
Christian Anderson,113,"Oak Hill Academy (Mouth Of Wilson, VA)",PG,90,2024
CJ Brown,114,"Kell (Marietta, GA)",PG,90,2024
Trent Burns,115,"Good Vision Academy (Houston, TX)",C,90,2024
Emmanuel Stephen,116,"Dream City Christian (Glendale, AZ)",C,90,2024
Dallas Thomas,117,"Parkview Magnet (Little Rock, AR)",PF,89,2024
Lathan Sommerville,118,"Richwoods (Peoria, IL)",C,89,2024
Daniel Freitag,119,"Breck School (Minneapolis, MN)",PG,89,2024
Trent Noah,120,"Harlan County (Baxter, KY)",SF,89,2024
Jack Robison,121,"Lakeville North (Lakeville, MN)",SF,89,2024
James Brown,122,"Link Academy (Branson, MO)",C,89,2024
Brooks Bahr,123,"Keller (Keller, TX)",CG,89,2024
George Turkson Jr.,124,"Bradford Christian Academy (Lowell, MA)",PF,89,2024
Isaiah Brown,125,"Orlando Christian Prep (Orlando, FL)",SG,88,2024
Brody Kozlowski,126,"Corner Canyon (Draper, UT)",PF,88,2024
David Punch,127,"Harker Heights (Harker Heights, TX)",PF,88,2024
Mikey Lewis,128,"Prolific Prep (Napa, CA)",CG,88,2024
Tyrone Riley,129,"St. Pius X-St. Matthias Academy (Downey, CA)",SF,88,2024
Jared Harris,130,"Silsbee (Silsbee, TX)",SG,88,2024
Isaac Davis,131,"Hillcrest (Idaho Falls, ID)",PF,88,2024
Zion Sensley,132,"Archbishop Riordan (San Francisco, CA)",SF,88,2024
Jason Jakstys,133,"Yorkville (Yorkville, IL)",PF,88,2024
Khaman Maker,134,"Trinity International Schools (South Sudan, SS)",C,88,2024
Kuol Atak,135,"Haltom (Fort Worth, TX)",PF,88,2024
Godswill Erheriene,136,"Long Island Lutheran (Glen Head, NY)",C,88,2024
Nick Janowski,137,"Pewaukee (Pewaukee, WI)",SG,88,2024
Colin White,138,"Ottawa-glandorf (Ottawa, OH)",SF,88,2024
Malachi Palmer,139,"Mt. Zion Prep (Baltimore, MD)",SG,88,2024
K.J. Windham,140,"Ben Davis (Indianapolis, IN)",CG,88,2024
Garrett Sundra,141,"Paul VI Catholic (Fairfax, VA)",PF,88,2024
Trey Parker,142,"Overtime Elite (Atlanta, GA)",SG,88,2024
Brandin Cummings,143,"Lincoln Park Performing Arts Cs (Midland, PA)",CG,88,2024
Luke Bamgboye,144,"Compass Prep (London, EN)",C,88,2024
Jesse McCulloch,145,"Lutheran East (Cleveland, OH)",C,88,2024
Ace Buckner,146,"La Lumiere School (La Porte, IN)",CG,88,2024
Isaiah Johnson-Arigu,147,"Totino-Grace (Minneapolis, MN)",SF,88,2024
Sebastian Rancik,148,"JSerra Catholic (San Juan Capistrano, CA)",PF,88,2024
Raleigh Burgess,149,"Sycamore (Cincinnati, OH)",C,88,2024
Taj DeGourville,150,"Red Rock Academy (Las Vegas, NV)",SF,88,2024
Darryn Peterson,1,"Prolific Prep (Napa, CA)",CG,100,2025
AJ Dybantsa,2,"Utah Prep (Brockton, MA)",SF,100,2025
Cameron Boozer,3,"Columbus (Miami, FL)",PF,100,2025
Nate Ament,4,"Highland School (Warrenton, VA)",PF,99,2025
Darius Acuff Jr.,5,"IMG Academy (Bradenton, FL)",PG,99,2025
Mikel Brown Jr.,6,"DME Academy (Daytona Beach, FL)",PG,99,2025
Chris Cenac Jr.,7,"Link Academy (Branson, MO)",C,99,2025
Caleb Wilson,8,"Holy Innocents Episcopal School (Atlanta, GA)",PF,99,2025
Brayden Burries,9,"Eleanor Roosevelt (San Bernardino, CA)",CG,98,2025
Alijah Arenas,10,"Chatsworth (Chatsworth, CA)",SG,98,2025
Koa Peat,11,"Perry (Gilbert, AZ)",PF,98,2025
Braylon Mullins,12,"Greenfield-Central (Greenfield, IN)",SG,98,2025
Meleek Thomas,13,"Overtime Elite (Atlanta, GA)",SG,98,2025
Tounde Yessoufou,14,"St Joseph (Benin, BENI)",SF,98,2025
Nikolas Khamenia,15,"Harvard Westlake (Studio City, CA)",SF,98,2025
Isiah Harwell,16,"Wasatch Academy (Mount Pleasant, UT)",SG,97,2025
Mouhamed Sylla,17,"Bella Vista Prep (Senegal, SENE)",C,97,2025
Jalen Haralson,18,"La Lumiere School (La Porte, IN)",SF,97,2025
CJ Ingram,19,"Montverde Academy (Montverde, FL)",SF,97,2025
Kingston Flemings,20,"Brennan (San Antonio, TX)",PG,97,2025
Trey McKenney,21,"St. Mary's (Flint, MI)",CG,97,2025
Shon Abaev,22,"Calvary Christian Academy (Fort Lauderdale, FL)",SF,96,2025
Cayden Boozer,23,"Columbus (Miami, FL)",PG,96,2025
Jasper Johnson,24,"Overtime Elite (Atlanta, GA)",SG,96,2025
Shelton Henderson,25,"Bellaire (Bellaire, TX)",SF,96,2025
Sadiq White Jr.,26,"IMG Academy (Bradenton, FL)",PF,95,2025
Malachi Moreno,27,"Great Crossing (Georgetown, KY)",C,95,2025
Matt Able,28,"Sagemont Prep (Fort Lauderdale, FL)",SG,95,2025
Dwayne Aristode,29,"Brewster Academy (Netherlands, NETH)",SF,95,2025
Jaden Toombs,30,"Dynamic Prep (Dallas, TX)",C,95,2025
Davis Fogle,31,"Compass Prep (Chandler, AZ)",SF,95,2025
Kiyan Anthony,32,"Long Island Lutheran (Glen Head, NY)",SG,95,2025
Braydon Hawthorne,33,"Huntington (Huntington, WV)",SF,95,2025
Kayden Mingo,34,"Long Island Lutheran (Glen Head, NY)",CG,95,2025
Dante Allen,35,"Montverde Academy (Montverde, FL)",CG,95,2025
Eric Reibe,36,"The Bullis School (Germany, GERM)",C,95,2025
Xavion Staton,37,"Utah Prep (Hurricane, UT)",C,95,2025
London Jemison,38,"St. Thomas More (Oakdale, CT)",PF,95,2025
Darius Adams,39,"La Lumiere School (La Porte, IN)",CG,95,2025
Niko Bundalo,40,"Prolific Prep (Napa, CA)",PF,95,2025
Alex Lloyd,41,"Westminster Academy (Fort Lauderdale, FL)",SG,94,2025
Jamarion Batemon,42,"Milwaukee Academy Of Science (Milwaukee, WI)",CG,94,2025
Jamier Jones,43,"Oak Ridge (Orlando, FL)",PF,94,2025
Amare Bynum,44,"Link Academy (Branson, MO)",PF,94,2025
Derek Dixon,45,"Gonzaga (Washington, DC)",CG,94,2025
Cam Ward,46,"Largo (Upper Marlboro, MD)",PF,94,2025
Sebastian Wilkins,47,"Brewster Academy (Wolfeboro, NH)",PF,94,2025
Acaden Lewis,48,"Sidwell Friends School (Washington, DC)",PG,94,2025
Kayden Edwards,49,"Duncanville (Duncanville, TX)",SG,94,2025
Amari Evans,50,"Overtime Elite (Atlanta, GA)",SF,94,2025
Jerry Easter II,51,"Link Academy (Branson, MO)",CG,94,2025
Sebastian Williams-Adams,52,"St. John's (Houston, TX)",PF,94,2025
Isaiah Denis,53,"Davidson Day (Davidson, NC)",CG,93,2025
Jordan Scott,54,"South Lakes (Reston, VA)",SF,93,2025
Chance Mallory,55,"St. Anne's-Belfield School (Charlottesville, VA)",PG,93,2025
Nyk Lewis,56,"Gonzaga (Washington, DC)",PG,93,2025
Keyshuan Tillery,57,"New Hampton School (New Hampton, NH)",PG,93,2025
Hudson Greer,58,"Montverde Academy (Montverde, FL)",SF,92,2025
Kaden Magwood,59,"Combine Academy (Charlotte, NC)",CG,92,2025
Alec Blair,60,"De La Salle (Concord, CA)",SF,92,2025
King Grace,61,"Faith Family Academy of Oak Cliff (Dallas, TX)",SG,92,2025
Davion Hannah,62,"Link Academy (Branson, MO)",SG,92,2025
Zac Foster,63,"Woodward Academy (Atlanta, GA)",CG,92,2025
Amari Allen,64,"Ashwaubenon (Green Bay, WI)",SF,92,2025
Trent Sisley,65,"Montverde Academy (Montverde, FL)",PF,92,2025
Kelvin Odih,66,"SoCal Academy (Castaic, CA)",SF,92,2025
Joshua Lewis,67,"Blake (Tampa, FL)",SF,92,2025
Jacob Wilkins,68,"Grayson (Loganville, GA)",SF,92,2025
Eli Ellis,69,"Moravian Prep (Hickory, NC)",PG,92,2025
Kareem Stagg,70,"IMG Academy (Bradenton, FL)",C,92,2025
Najai Hines,71,"Plainfield (Plainfield, NJ)",C,92,2025
Kohl Rosario,72,"Moravian Prep (Hudson, NC)",SG,92,2025
Chris Jeffrey,73,"Mt. Zion Prep (Lanham, MD)",CG,92,2025
JJ Mandaquit,74,"Utah Prep (Hilo, HI)",PG,92,2025
Mazi Mosley,75,"Prolific Prep (Napa, CA)",SG,92,2025
John Clark,76,"Link Academy (Branson, MO)",C,92,2025
Tylis Jordan,77,"Wheeler (Marietta, GA)",PF,92,2025
Adrien Stevens,78,"The Bullis School (Potomac, MD)",CG,92,2025
Jalen Reece,79,"Oak Ridge (Orlando, FL)",PG,91,2025
Jaylen Harrell,80,"Cambridge Arts, Technology and Science (Braintree, MA)",SF,91,2025
Winters Grady,81,"Prolific Prep (Napa, CA)",SF,91,2025
Nigel Walls,82,"St. Francis Episcopal School (Houston, TX)",PF,91,2025
Ryan Crotty,83,"Miller School (Charlottesville, VA)",SF,91,2025
Samis Calderon,84,"Overtime Elite (Atlanta, GA)",SF,91,2025
Amir Jenkins,85,"Worcester Academy (Worcester, MA)",PG,91,2025
Nigel James Jr.,86,"Long Island Lutheran (Glen Head, NY)",PG,91,2025
Neiko Mundey,87,"Prince George's Christian Academy (Landover, MD)",CG,91,2025
Billy White III,88,"Veterans Memorial (Corpus Christi, TX)",SF,91,2025
Dorian Jones,89,"Richmond Heights (Cleveland, OH)",SG,91,2025
Tee Bartlett,90,"Overtime Elite (Atlanta, GA)",C,91,2025
Jasir Rencher,91,"Archbishop Riordan (San Francisco, CA)",SF,91,2025
Silas Barksdale,92,"Woodside (Newport News, VA)",C,91,2025
Tre Singleton,93,"Jeffersonville (Jeffersonville, IN)",PF,91,2025
Trey Thompson,94,"Greeneville (Greeneville, TN)",PF,91,2025
Dillan Shaw,95,"Heritage Christian (Northridge, CA)",SF,91,2025
Patton Pinkins,96,"Wolfforth Frenship (Wolfforth, TX)",SG,91,2025
Marcus Jackson,97,"Word Of God Christian Academy (Raleigh, NC)",C,91,2025
Azavier Robinson,98,"Lawrence North (Indianapolis, IN)",CG,90,2025
Brandon Lee,99,"The Patrick School (Hillside, NJ)",SG,90,2025
Jacob Furphy,100,"NBA Global Academy (Australia, AUST)",SF,90,2025
Akai Fleming,101,"Overtime Elite (Atlanta, GA)",SG,90,2025
Zymicah Wilkins,102,"Christ School (Arden, NC)",C,90,2025
Chamberlain Burgess,103,"Orem (Orem, UT)",PF,90,2025
Courtland Muldrew,104,"Oak Hill Academy (Mouth Of Wilson, VA)",SG,90,2025
Ryder Frost,105,"Phillips Exeter Academy (Exeter, NH)",SF,90,2025
Michael Phillips II,106,"Grace Christian School (Raleigh, NC)",SF,90,2025
Omari Witherspoon,107,"St. John's College (Washington, DC)",CG,90,2025
Kai Rogers,108,"Overtime Elite (Atlanta, GA)",C,90,2025
Matt Gilhool,109,"William Penn Charter (Philadelphia, PA)",C,90,2025
DeWayne Brown II,110,"Hoover (Hoover, AL)",C,90,2025
Benjamin Ahmed,111,"Putnam Science Academy (Nigeria, NIGE)",C,90,2025
Ian Miletic,112,"Rolling Meadows (Rolling Meadows, IL)",PF,90,2025
Isaiah Sealy,113,"Springdale (Springdale, AR)",SF,90,2025
Mason Blackwood,114,"New Hampton School (New Hampton, NH)",SF,90,2025
Jaion Pitt,115,"Bella Vista Prep (Canada, CANA)",PF,90,2025
Jermaine O'Neal Jr.,116,"Dynamic Prep (Southlake, TX)",SF,90,2025
Christian Gurdak,117,"Gonzaga (Charles Town, WV)",C,90,2025
Deondrea Lindsey,118,"Oak Hill Academy (Mouth Of Wilson, VA)",C,90,2025
Ebuka Okorie,119,"Brewster Academy (Wolfeboro, NH)",PG,90,2025
Sheek Pearson,120,"John Burroughs School (St. Louis, MO)",PF,90,2025
Collins Onyejiaka,121,"The Newman School (Boston, MA)",C,90,2025
Tommy Ahneman,122,"Cretin Derham Hall (Saint Paul, MN)",C,90,2025
Jayden Forsythe,123,"Westtown School (Norristown, PA)",SF,90,2025
Jovani Ruff,124,"Long Beach Poly (Long Beach, CA)",SG,90,2025
Treyvon Maddox,125,"Oak Ridge (Orlando, FL)",SF,90,2025
Zach Kinziger,126,"De Pere (De Pere, WI)",SG,90,2025
Jamarion Davis-Fleming,127,"Canton (Canton, MS)",C,90,2025
Jaylen Petty,128,"Rainier Beach (Seattle, WA)",PG,90,2025
Brady Koehler,129,"Cathedral (Indianapolis, IN)",PF,90,2025
Chris Nwuli,130,"Dynamic Prep (Dallas, TX)",PF,90,2025
Killyan Toure,131,"Brewster Academy (Wolfeboro, NH)",SG,90,2025
Cameren Paul,132,"DeSoto (DeSoto, TX)",SF,90,2025
Josiah Sanders,133,"Colorado Prep (Denver, CO)",CG,90,2025
Luke Fennell,134,"NBL Australia (Australia, AUST)",SG,90,2025
Tae Simmons,135,"Heritage Christian (Northridge, CA)",PF,90,2025
Jalin Holland,136,"Dream City Christian (Glendale, AZ)",SG,90,2025
Lino Mark,137,"Notre Dame (Sherman Oaks, CA)",PG,90,2025
KJ Cochran,138,"Perkiomen School (West Chester, PA)",CG,90,2025
Jeremiah Green,139,"Compass Prep (Denton, TX)",CG,90,2025
Elzie Harrington,140,"St. John Bosco (Bellflower, CA)",SF,90,2025
Michael Simcoe,141,"Sandra Day O'Connor (Glendale, AZ)",PF,90,2025
Tyrin Jones,142,"Layton Christian Academy (Layton, UT)",PF,90,2025
Xzavion Mitchell,143,"Oshkosh North (Oshkosh, WI)",PF,90,2025
Jack McCaffery,144,"Iowa City West (Iowa City, IA)",PF,90,2025
Emmanuel Kanga,145,"Mt. Zion Prep (Gabon, GABO)",C,90,2025
Trent MacLean,146,"SoCal Academy (Castaic, CA)",PF,90,2025
Kruz McClure,147,"DME Academy (SJNA) (Delafield, WI)",SG,90,2025
Isaac Carr,148,"Central Catholic (Portland, OR)",SG,90,2025
Isaiah Medina,149,"Gibbs (St. Petersburg, FL)",C,90,2025
Keaton Wagler,150,"Shawnee Mission Northwest (Shawnee, KS)",SG,90,2025
